                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.51062,                0.35608,                0.79815,                0.95411,                0.77433,                0.83362,                0.65679,                 1.9945,                 1.9483,                 1.7934,              0.0006536,              0.0006536,              0.0006536
                     36,                0.52064,                0.36245,                0.80131,                0.94305,                0.76753,                0.82698,                0.67169,                 1.9487,                   1.97,                 1.7866,               0.000614,               0.000614,               0.000614
                     37,                0.50285,                0.35087,                    0.8,                 0.9526,                0.77117,                0.83159,                0.66285,                 1.9849,                 1.8854,                 1.7887,              0.0005744,              0.0005744,              0.0005744
                     38,                0.49218,                0.34525,                0.79838,                0.95594,                0.77085,                0.83226,                0.65691,                 1.9755,                 1.9026,                 1.7504,              0.0005348,              0.0005348,              0.0005348
                     39,                 0.4895,                0.33692,                0.79911,                 0.9574,                0.76911,                0.83569,                0.67219,                 1.9588,                 1.9581,                 1.7217,              0.0004952,              0.0004952,              0.0004952
                     40,                0.49305,                0.33984,                0.79725,                0.95094,                0.76848,                0.84028,                0.69308,                 1.9225,                 2.0281,                 1.7235,              0.0004556,              0.0004556,              0.0004556
                     41,                0.45822,                0.30401,                0.79487,                0.94345,                0.76566,                0.82283,                0.64335,                 2.0269,                 2.1276,                 1.7418,               0.000416,               0.000416,               0.000416
                     42,                0.43996,                0.29228,                0.79027,                0.95044,                0.77083,                 0.8315,                0.65877,                 1.9784,                 2.0084,                 1.7625,              0.0003764,              0.0003764,              0.0003764
                     43,                0.42567,                0.28335,                0.78937,                0.95489,                0.77053,                0.83744,                0.67261,                 1.9478,                 1.9677,                 1.7746,              0.0003368,              0.0003368,              0.0003368
                     44,                0.41649,                0.27954,                 0.7865,                0.95445,                0.77101,                0.84089,                0.67297,                 1.9579,                  2.016,                 1.7727,              0.0002972,              0.0002972,              0.0002972
                     45,                0.39382,                0.27139,                0.78635,                0.95243,                 0.7731,                0.83825,                0.66361,                 1.9599,                  2.004,                 1.7652,              0.0002576,              0.0002576,              0.0002576
                     46,                0.38975,                0.26614,                0.78506,                0.95683,                0.77069,                0.83654,                0.67784,                 1.9581,                 2.0649,                 1.7797,               0.000218,               0.000218,               0.000218
                     47,                0.37791,                0.26258,                0.78591,                0.95403,                0.76911,                0.83936,                0.67079,                 1.9977,                 2.0572,                 1.7928,              0.0001784,              0.0001784,              0.0001784
                     48,                0.36908,                0.25589,                0.78489,                0.95606,                0.77122,                0.84344,                 0.6759,                 1.9934,                 2.1777,                 1.7661,              0.0001388,              0.0001388,              0.0001388
                     49,                0.36362,                0.25587,                0.78237,                0.95644,                0.77085,                0.84276,                0.68002,                 1.9829,                  2.191,                 1.7426,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.34951,                   0.25,                0.78045,                 0.9569,                0.77164,                0.84217,                0.68009,                 1.9777,                  2.122,                  1.757,               5.96e-05,               5.96e-05,               5.96e-05
