                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.39908,                0.28773,                0.78503,                 0.9535,                0.77234,                0.84119,                0.66923,                 2.0227,                 1.8428,                 1.8945,              0.0006536,              0.0006536,              0.0006536
                     36,                0.42285,                0.30574,                0.78931,                0.96245,                0.76468,                0.83915,                0.68593,                 1.9405,                 1.9546,                 1.7747,               0.000614,               0.000614,               0.000614
                     37,                0.38838,                0.28269,                0.78712,                0.95985,                0.77183,                0.84463,                0.68396,                  1.964,                 1.9852,                  1.817,              0.0005744,              0.0005744,              0.0005744
                     38,                0.38041,                0.28029,                0.78617,                0.96198,                 0.7729,                0.84384,                0.68236,                 1.9861,                 1.8482,                 1.8223,              0.0005348,              0.0005348,              0.0005348
                     39,                0.38809,                0.27571,                 0.7868,                0.96136,                0.76784,                0.84337,                0.68932,                 1.9846,                 1.9431,                 1.8111,              0.0004952,              0.0004952,              0.0004952
                     40,                0.39179,                0.28137,                0.78533,                0.95462,                0.76642,                0.84152,                0.66856,                 2.0128,                  1.891,                 1.8322,              0.0004556,              0.0004556,              0.0004556
                     41,                0.34654,                0.23559,                0.78059,                0.96243,                0.77026,                0.83817,                0.69783,                 1.9013,                 1.8654,                 1.8155,               0.000416,               0.000416,               0.000416
                     42,                0.34844,                0.23101,                0.77852,                0.96786,                0.77195,                0.84157,                0.67452,                 1.9706,                  1.905,                 1.7533,              0.0003764,              0.0003764,              0.0003764
                     43,                0.32515,                0.22118,                0.77745,                0.96876,                0.77338,                0.84408,                 0.6842,                 1.9648,                 1.9269,                 1.7775,              0.0003368,              0.0003368,              0.0003368
                     44,                0.32183,                0.22012,                0.77514,                0.96693,                0.77273,                0.84317,                0.66381,                 2.0273,                 1.9662,                 1.8438,              0.0002972,              0.0002972,              0.0002972
                     45,                0.31031,                0.21476,                0.77633,                0.96787,                0.77234,                 0.8411,                0.67592,                 1.9847,                   1.92,                 1.8233,              0.0002576,              0.0002576,              0.0002576
                     46,                0.29947,                0.20891,                 0.7745,                0.96739,                0.77212,                0.84313,                0.69719,                 1.9349,                 1.8676,                 1.8345,               0.000218,               0.000218,               0.000218
                     47,                0.28825,                0.20499,                0.77541,                0.96996,                0.77307,                0.84194,                0.66983,                 1.9986,                 1.9193,                 1.8359,              0.0001784,              0.0001784,              0.0001784
                     48,                0.27395,                0.19621,                0.77475,                0.96933,                0.77338,                0.84316,                0.68337,                 1.9548,                 1.9003,                 1.8308,              0.0001388,              0.0001388,              0.0001388
                     49,                0.27344,                0.19762,                0.77282,                0.96577,                0.77249,                0.84467,                0.67932,                 1.9708,                 1.9339,                 1.8193,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.25941,                0.19201,                0.77071,                0.96774,                0.77322,                 0.8425,                0.67941,                 1.9545,                 1.9155,                 1.8289,               5.96e-05,               5.96e-05,               5.96e-05
