epoch,map,map_05,train loss,train cls loss,train box reg loss,train obj loss,train rpn loss
1,0.10762291529007197,0.3022740967880359,0.5329588055610657,0.38942593,0.44864616,0.31140235,0.07876344
2,0.3649128876367698,0.6239544261581378,0.37146374583244324,0.19193971,0.26015577,0.025595656,0.020126192
3,0.479159540179837,0.694226586698337,0.2054685354232788,0.096890435,0.12249979,0.010883134,0.011851892
4,0.5379667765735435,0.7128957317981949,0.18971584737300873,0.062073957,0.08158591,0.0066586756,0.0080079045
5,0.5489018541269097,0.7103907568927449,0.1049097552895546,0.045615442,0.06348101,0.004335801,0.005888956
6,0.5614674724624193,0.7136926732255506,0.09226229786872864,0.037136484,0.05177348,0.003135313,0.004609937
7,0.5864156350950173,0.7255775433928058,0.06366772204637527,0.03047824,0.04413807,0.0023554524,0.0037120208
8,0.594828104402024,0.7262910271273667,0.09109165519475937,0.026680611,0.039054465,0.0020389198,0.003097804
9,0.605764883603299,0.7263992880532072,0.05868666619062424,0.023830777,0.034374304,0.0014980332,0.0026590119
10,0.615720908824822,0.7378946879712986,0.10709000378847122,0.021828895,0.031206304,0.0013245759,0.002381301
11,0.6106505835790162,0.7290764229520222,0.06688154488801956,0.020326726,0.028669897,0.0011728118,0.002105329
12,0.6238369281876894,0.7282140583547302,0.034955669194459915,0.01860239,0.026361996,0.0010771309,0.0018752295
13,0.6187136054197977,0.7294406114388535,0.021188246086239815,0.01743428,0.024460085,0.00088601327,0.0017189027
14,0.620662562203286,0.7268816449367526,0.030772386118769646,0.017157434,0.02346577,0.00092409574,0.0015964323
15,0.6370231389770199,0.7381170764502856,0.03538940101861954,0.015598081,0.021710971,0.00078098447,0.001476481
16,0.6276986902492916,0.7374630181554934,0.03946531191468239,0.014870302,0.020615736,0.00068933645,0.0013814071
17,0.6466246513645041,0.7404701721383162,0.0630149096250534,0.013835765,0.019609699,0.00061559374,0.001288142
18,0.6415674835757973,0.739967174197198,0.024260031059384346,0.01328835,0.018569473,0.00048788366,0.0012126499
19,0.640319391178926,0.7406360374541412,0.04477957636117935,0.013084745,0.01772347,0.00052734226,0.0011326121
20,0.6510542354003364,0.7305647287902514,0.02724538929760456,0.012542546,0.016829982,0.0003652044,0.0010714857
21,0.6316350584594134,0.7200653865567924,0.03681771457195282,0.012403437,0.016300777,0.00048475177,0.0010230464
22,0.6426426063975138,0.7300306643422131,0.015170208178460598,0.012282683,0.015762636,0.00037766094,0.000968404
23,0.6389136033365683,0.7297210571911409,0.04845122620463371,0.011641972,0.014987629,0.00037296204,0.00093130226
24,0.652837511988438,0.7312484891126756,0.019768700003623962,0.011723128,0.014501762,0.0003992794,0.00090028957
25,0.6484381972030008,0.7284753155667123,0.0011185441398993134,0.011453477,0.014165105,0.00037311536,0.00086091657
26,0.6438499546986557,0.7291913514512346,0.008901739493012428,0.011288885,0.013960873,0.00041258644,0.000831036
27,0.6561035207277284,0.7302104302996593,0.13377505540847778,0.010667129,0.013410136,0.00032487957,0.00080503273
28,0.6533499066546015,0.7299380160437375,0.0065506030805408955,0.010579678,0.012795541,0.00034665593,0.000781205
29,0.6587621214768203,0.7399755279641793,0.01874689757823944,0.01036074,0.012611659,0.000317744,0.00074584456
30,0.660842520560717,0.7303336741830365,0.029860107228159904,0.009719646,0.012248521,0.00026607903,0.00071562856
31,0.656265786747466,0.7286509469690847,0.023686081171035767,0.009720976,0.01178393,0.00025078846,0.00069256837
32,0.6564016451742005,0.7298248541580606,0.009248347952961922,0.009663341,0.011525842,0.00023474381,0.0006811314
33,0.6594603856059233,0.729847203115376,0.027716191485524178,0.009375365,0.011243595,0.00024418283,0.00066656095
34,0.6589645792405447,0.7286262696964149,0.02620832435786724,0.009073033,0.010871125,0.00028840447,0.00064014154
35,0.6674946928346358,0.7403570473556994,0.01695696823298931,0.009042733,0.0108494945,0.00017571401,0.00062985916
36,0.6667582197207055,0.7312752793857628,0.01705428957939148,0.008975933,0.010620881,0.00017859534,0.0006056607
37,0.65993145838951,0.7307699869053981,0.02635519579052925,0.009150901,0.010361845,0.000226371,0.00059729494
38,0.6648009167842353,0.7304341971158653,0.014458192512392998,0.008889223,0.010152011,0.00019570281,0.000574941
39,0.6635451321810386,0.7301051035523899,0.021212022751569748,0.008466414,0.009907411,0.00018802877,0.00056190183
40,0.6636474847498646,0.7308623523559454,0.015351884998381138,0.008422117,0.009697012,0.00018244737,0.00054338144
41,0.6653655488191028,0.7306947950171698,0.01932353712618351,0.008388365,0.009597432,0.00014188846,0.0005353598
42,0.6741698463723944,0.7419577739074636,0.01246377732604742,0.007798535,0.009312507,0.00016815189,0.00051949604
43,0.6778954473856744,0.7409437762172889,0.024466460570693016,0.008336368,0.009028591,0.00019108689,0.0005166868
44,0.6600385433854403,0.7294413122205119,0.011532961390912533,0.007937607,0.009017722,0.0001631781,0.00050797284
45,0.6699931881164463,0.730061031568076,0.016480807214975357,0.0075896275,0.008841435,0.00012922415,0.0004912069
46,0.6712071079747721,0.7303869325562441,0.01750033348798752,0.007931026,0.008778839,0.00021050894,0.0004908269
47,0.6683847301961415,0.7308643732058269,0.013147165067493916,0.0077521824,0.008702505,0.00022216285,0.00048266427
48,0.6693024286155043,0.7320137149140855,0.01366718765348196,0.0075870417,0.008236372,0.00013913611,0.00047538173
49,0.6675386699001709,0.7304657532146241,0.00823826901614666,0.0077120634,0.008250087,0.00015893919,0.0004610057
50,0.6733188992655875,0.7295012402637114,0.02995351143181324,0.007969948,0.008125816,0.00016686581,0.0004492452
